name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
Sparx mens Sd9039g Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51e48JV2GfL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Casual-Stripped-Sneakers-White/dp/B0B4KF6LFM/ref=sr_1_5?qid=1679148619&s=shoes&sr=1-5,4.0,"1,893",₹499,₹999,A_SHOE_001
Sparx Mens Sm-439 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71gVtJPjZZL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-439-White-Casual-Shoes/dp/B07Y5BKQ5R/ref=sr_1_6?qid=1679148619&s=shoes&sr=1-6,4.2,"10,388",₹594,₹699,A_SHOE_002
crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M8W10,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0BQHS8L8Z/ref=sr_1_7?qid=1679148619&s=shoes&sr=1-7,,,"₹3,100","₹4,495",A_SHOE_003
crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M9W11,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0BQHT287T/ref=sr_1_8?qid=1679148619&s=shoes&sr=1-8,3.0,2,"₹2,377","₹4,495",A_SHOE_004
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-9-205089-4CC/dp/B0819RC5HR/ref=sr_1_9?qid=1679148619&s=shoes&sr=1-9,4.3,"3,415","₹1,747","₹3,495",A_SHOE_005
crocs Bayaband Unisex-Adult SLATEGREY/LIMEPUNCH_N Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-0GX),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Va1SsE3rL._AC_UL320_.jpg,https://www.amazon.in/crocs-Bayaband-Unisex-Adult-SLATEGREY-LIMEPUNCH_N/dp/B0BQHW5RWT/ref=sr_1_10?qid=1679148619&s=shoes&sr=1-10,4.5,10,"₹2,271","₹4,495",A_SHOE_006
crocs unisex-adult Bayaband Clog SLATE GREY/LIME PUNCH Clog - 6 UK Men/ 7 UK Women (M7W9) (205089-0GX),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61LCRvTH7BL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Adult-Bayaband-205089-0GX/dp/B0977472N7/ref=sr_1_11?qid=1679148619&s=shoes&sr=1-11,4.1,531,"₹1,922","₹3,495",A_SHOE_007
crocs unisex-adult Bayaband Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61A0JAzTUOL._AC_UL320_.jpg,https://www.amazon.in/crocs-Bayaband-Unisex-Adult-White-Navy_N/dp/B0BQHWCY6T/ref=sr_1_12?qid=1679148619&s=shoes&sr=1-12,4.6,5,"₹1,747","₹4,495",A_SHOE_008
"BATA Mens Boss-Slick Formal Shoes, (8516051), Black",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71DN-vAkLoL._AC_UL320_.jpg,https://www.amazon.in/BATA-BOSS-Slick-Black-Uniform-8516051/dp/B0987RC4PM/ref=sr_1_13?qid=1679148619&s=shoes&sr=1-13,3.8,"1,721",₹593,"₹1,099",A_SHOE_009
crocs unisex-adult Bayaband Clog Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Bayaband-Pepper-Clogs-8-205089-4CC/dp/B0819S12QN/ref=sr_1_14?qid=1679148619&s=shoes&sr=1-14,4.3,"3,064","₹1,747","₹3,495",A_SHOE_010
