name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref
INOVERA (LABEL) Women Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Raw8VUk5L._AC_UL320_.jpg,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_5?qid=1679158589&s=shoes&sr=1-5,4.1,"7,143","₹1,249","₹1,999",A_BAG_001
DEIN KLEIDER Men's Nylon Messenger Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81wnCexA4tL._AC_UL320_.jpg,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_6?qid=1679158589&s=shoes&sr=1-6,4.0,"4,558",₹349,"₹1,199",A_BAG_002
ALIZA Women's Tote Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/815ZbFl1sdL._AC_UL320_.jpg,https://www.amazon.in/ALIZA-Womens-Tote-Bag-Black/dp/B08JJ8RQNR/ref=sr_1_7?qid=1679158589&s=shoes&sr=1-7,4.0,"7,845",₹423,"₹1,490",A_BAG_003
Fargo Handbag For Women And Girls COMBO SET OF 5 (Light5pc),accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51-+SFrhYFL._AC_UL320_.jpg,https://www.amazon.in/Fargo-Handbag-Women-Girls-Light5pc/dp/B09N3K2ZCP/ref=sr_1_8?qid=1679158589&s=shoes&sr=1-8,3.2,"3,105",₹499,"₹3,999",A_BAG_004
Baggit Women's PEPSI Sling Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ujEx4nYiL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_9?qid=1679158589&s=shoes&sr=1-9,4.3,"2,065",₹649,"₹1,599",A_BAG_005
"A.W.Faber-Castell I Pvt Textliner Pastel -Wallet of 5, Multicolor (553505)",accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91sOOfnGdZL._AC_UL320_.jpg,https://www.amazon.in/W-Faber-Castell-Textliner-Pastel-Wallet-553505/dp/B0971B4JP9/ref=sr_1_10?qid=1679158589&s=shoes&sr=1-10,4.4,505,₹110,₹125,A_BAG_006
TOOBA Women's Handicraft Beautiful Bling Box Clutch Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cVvydO3qL._AC_UL320_.jpg,https://www.amazon.in/Tooba-Womens-Clutch-Sparkling-Gold/dp/B07SGJZT8Y/ref=sr_1_11?qid=1679158589&s=shoes&sr=1-11,4.0,"4,411",₹295,"₹4,999",A_BAG_007
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Wedding Gifts For Women | Women 3 Compartmen...,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71fZ4nCbKvL._AC_UL320_.jpg,https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R/ref=sr_1_12?qid=1679158589&s=shoes&sr=1-12,4.1,"9,061",₹629,"₹2,399",A_BAG_008
Lino Perros Women's leatherette Tote Bag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713PyK91XHL._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Tote-Pink/dp/B07JN9G66H/ref=sr_1_13?qid=1679158589&s=shoes&sr=1-13,4.3,"2,631","₹1,281","₹4,495",A_BAG_009
Amazon Brand - Eden & Ivy Women's Handbag,accessories,Handbags & Clutches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51b2Ii+fFcL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Autumn-Winter20-womens-Handbag/dp/B08H89HSRV/ref=sr_1_14?qid=1679158589&s=shoes&sr=1-14,4.3,"2,099",₹659,"₹1,899",A_BAG_010
