name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,row_ref,supplier_id
"Fabme Women's Metal Adjustable Belt for Saree, Western Dress, Traditional Dress, Party Designer wear (Plain, 2 cm wide)",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/319Kg3gkUdL._AC_UL320_.jpg,https://www.amazon.in/Fabme-Adjustable-Traditional-Designer-ACC-18-20/dp/B08XBRZHSR/ref=sr_1_53?qid=1679152740&s=apparel&sr=1-53,4.0,382,₹129,₹999,A_CLOTH_045,supplier_a
SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/712r6exQc+L._AC_UL320_.jpg,https://www.amazon.in/SGF11-Womens-Kanjivaram-Saree-Blouse/dp/B09YRR7W3G/ref=sr_1_56?qid=1679152740&s=apparel&sr=1-56,3.6,904,₹949,"₹5,999",A_CLOTH_048,supplier_a
"Izaan Mart Women's Retro Driving Rectangular Sunglasses Black Frame, Black Lens (Medium) Set of 1",women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51-a2L6DsIS._AC_UL320_.jpg,https://www.amazon.in/Izaan-Women-Driving-Rectangular-Sunglasses/dp/B096S16G1G/ref=sr_1_9_mod_primary_new?qid=1679152740&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-9,3.9,357,₹160,"₹1,999",A_CLOTH_005,supplier_a
KeepCart Women Tummy Control Shapewear High Waist Trainer Thigh Slimmer,women's clothing,Clothing,https://m.media-amazon.com/images/I/613QQQK6MHL._AC_UL320_.jpg,https://www.amazon.in/KeepCart-Shapewear-Underwear-Rolling-Slimming/dp/B08ZHJ3T77/ref=sr_1_60?qid=1679152742&s=apparel&sr=1-60,4.1,"2,480",₹397,₹699,A_CLOTH_056,supplier_a
FLYNGO 2 Pair Nipple Covers Reusable Comfortable Invisible Adhesive Silicone Pasties for Women,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/416cz5MDANL._AC_UL320_.jpg,https://www.amazon.in/FLYNGO-Reusable-Comfortable-Invisible-Adhesive/dp/B0BVMPK93V/ref=sr_1_35?qid=1679152740&s=apparel&sr=1-35,4.9,55,₹275,₹599,A_CLOTH_027,supplier_a
GoSriKi Women's Woven Georgette Saree (BND-Multi GO_Multicolour),women's clothing,Clothing,https://m.media-amazon.com/images/I/51ht5m2xeiL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Georgette-BND-Multi-GO_Multicolour/dp/B0B63RNRNT/ref=sr_1_73?qid=1679152742&s=apparel&sr=1-73,3.2,364,₹299,"₹2,599",A_CLOTH_065,supplier_a
Janasya Women's Green Poly Chiffon Self Design Flared Kurta,women's clothing,Clothing,https://m.media-amazon.com/images/I/61hHzoAOjzL._AC_UL320_.jpg,https://www.amazon.in/Janasya-Womens-Chiffon-Design-Flared/dp/B09SDY8DCT/ref=sr_1_82?qid=1679152742&s=apparel&sr=1-82,4.1,"1,124",₹659,"₹2,599",A_CLOTH_074,supplier_a
SHOPPY VILLA WITH SV LOGO Women Camisole (Comi-Secret_Multicolour_Free Size),women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+aEr8p4mL._AC_UL320_.jpg,https://www.amazon.in/SHOPPY-VILLA-Ladies-Secret-3_Black/dp/B079HR78GS/ref=sr_1_15?qid=1679152740&s=apparel&sr=1-15,4.1,"1,086",₹279,₹499,A_CLOTH_011,supplier_a
Rangnavi Women Rayon Anarkali Embroidered Printed Kurta Pant and Dupatta Set,women's clothing,Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41HnNEzSeCL._AC_UL320_.jpg,https://www.amazon.in/Rangnavi-Anarkali-Embroidered-Printed-Dupatta/dp/B0BPY6JKN7/ref=sr_1_49?qid=1679152740&s=apparel&sr=1-49,3.9,159,₹845,"₹2,499",A_CLOTH_041,supplier_a
"ishin Women's Faux Georgette Saree With Blouse Piece (Ishinsp-Ss-128, Beige & Pink, Free Size)",women's clothing,Clothing,https://m.media-amazon.com/images/I/81vs9El8VVL._AC_UL320_.jpg,https://www.amazon.in/ishin-Womens-Georgette-Blouse-Ishinsp-Ss-128/dp/B073Y63Z9S/ref=sr_1_112?qid=1679152743&s=apparel&sr=1-112,2.6,5,₹589.41,₹999,A_CLOTH_108,supplier_a
